NOME;VALOR TOTAL;VU;AREA;TESTADA;ESQUINA;FRENTES;DIST_MAR;ZONEAMENTO;PAVIMENTOS;CONDOMINIO_FECHADO;PAVIMENTO;TOPOGRAFIA;N;E;DATA;FONTE
JUR_01;"2100000,00";"3500,00";"600,00";"20,00";0;1;"166,00";ARP-2.4;2;0;SIM;PLANO;"6962450,00";"747285,00";22/jun;https://www.zapimoveis.com.br/oferta/venda+terreno-padrao+jurere-internacional+florianopolis+sc+600m2+RS2100000/ID-10973829/?paginaoferta=6
JUR_02;"690000,00";"1533,33";"450,00";"15,00";0;1;"755,00";ARP-2.4;2;0;SIM;PLANO;"6961896,00";"747119,00";22/jun;https://www.zapimoveis.com.br/oferta/venda+terreno-padrao+jurere-internacional+florianopolis+sc+RS690000/ID-13033309/?paginaoferta=9
JUR_03;"850000,00";"1888,89";"450,00";"15,00";0;1;"660,00";ARP-2.4;2;0;SIM;PLANO;"6961946,00";"747371,00";23/jun;https://www.vivareal.com.br/imovel/lote-terreno-jurere-internacional-bairros-florianopolis-venda-RS850000-id-81063303/
JUR_04;"4800000,00";"4571,43";"1050,00";"30,00";0;1;"33,00";ARP-2.4;2;0;SIM;PLANO;"6962538,00";"747619,00";22/jun;https://www.zapimoveis.com.br/oferta/venda+terreno-padrao+jurere-internacional+florianopolis+sc+RS4800000/ID-10630788/?paginaoferta=10
JUR_05;"900000,00";"2000,00";"450,00";"15,00";0;1;"373,00";ARP-2.4;2;0;SIM;PLANO;"6962278,00";"747089,00";22/jun;https://www.zapimoveis.com.br/oferta/venda+terreno-padrao+jurere-internacional+florianopolis+sc+RS900000/ID-12970905/?paginaoferta=1
JUR_06;"880000,00";"1512,03";"582,00";"20,00";1;2;"1094,00";ARP-2.4;2;0;SIM;PLANO;"6961545,00";"747118,00";22/jun;https://www.zapimoveis.com.br/oferta/venda+terreno-padrao+jurere-internacional+florianopolis+sc+582m2+RS880000/ID-10973670/?paginaoferta=2
JUR_07;"950000,00";"2111,11";"450,00";"15,00";0;1;"360,00";ARP-2.4;2;0;SIM;PLANO;"6962221,00";"747640,00";22/jun;https://www.zapimoveis.com.br/oferta/venda+terreno-padrao+jurere-internacional+florianopolis+sc+RS950000/ID-12798647/?paginaoferta=2
JUR_08;"3200000,00";"2666,67";"1200,00";"30,00";1;3;"230,00";ARP-2.4;2;0;SIM;PLANO;"6962428,00";"747172,00";22/jun;https://www.zapimoveis.com.br/oferta/venda+terreno-padrao+jurere-internacional+florianopolis+sc+1.200m2+RS3200000/ID-10973690/?paginaoferta=3
JUR_09;"850000,00";"1888,89";"450,00";"15,00";0;1;"562,00";ARP-2.4;2;0;SIM;PLANO;"6962090,00";"747053,00";22/jun;http://www.imovelweb.com.br/propriedades/terreno-residencial-a-venda-jurere-internacional-2931340359.html
JUR_10;"1100000,00";"1864,41";"590,00";"20,00";0;1;"977,00";ARP-2.4;2;0;SIM;PLANO;"6961628,00";"747248,00";22/jun;https://www.zapimoveis.com.br/oferta/venda+terreno-padrao+jurere-internacional+florianopolis+sc+590m2+RS1100000/ID-13249012/?paginaoferta=8
