VT;VU;AP;DPXV;DSBM;DSIG;DCTC;DABM;ND;NB;NS;NG;MO;PSN;CH;PC;BRO;COORD_E;COORD_N
920045;9485;97;1642;876;6763;7022;367;3;3;1;1;MO;S;S;A;Centro;742452;6946217
699997;9589;73;2033;1266;6916;7175;807;2;3;2;2;N;S;S;M;Centro;742745;6945881
750000;6250;120;1122;1324;7211;7470;803;2;4;2;2;N;N;N;M;Centro;742245;6945636
1149972;9426;122;1612;1064;6952;7211;136;3;3;1;1;SM;N;N;A;Centro;741795;6946170
700040;6364;110;1532;936;6824;7083;116;3;2;1;1;MO;N;N;M;Centro;741679;6946144
630000;7500;84;2376;1668;7543;7802;143;2;2;0;1;N;N;N;B;Centro;741383;6946018
839990;8842;95;2480;2615;8493;8752;319;3;2;1;1;MO;S;S;M;Centro;741004;6945712
530010;9815;54;1371;1971;7846;8105;892;3;1;0;1;MO;N;N;A;Centro;741606;6945303
1075020;7790;138;1517;1291;7166;7425;585;3;4;1;2;MO;N;N;M;Centro;742133;6945825
529980;8833;60;1372;1164;6982;7241;660;2;2;1;1;MO;N;N;M;Centro;742338;6945830
1255104;13074;96;2055;1269;7156;7415;282;4;3;1;2;N;S;N;A;Centro;742205;6946185
849960;7083;120;1119;1349;7237;7496;475;3;3;2;2;MO;S;N;M;Centro;741652;6945754
990000;8250;120;1617;1427;7302;7561;338;3;3;1;1;MO;S;S;A;Centro;741479;6945844
2399957;14371;167;1620;834;6721;6980;528;4;5;3;3;MO;S;S;A;Centro;742456;6946030
458012;6836;67;1828;1042;6929;7188;358;2;1;1;1;SM;N;N;M;Centro;742278;6946132
889985;8165;109;1373;1497;7450;7709;674;3;3;1;2;N;S;S;M;Centro;742086;6945709
1150050;10455;110;2401;621;6508;6767;91;3;4;1;1;SM;N;N;A;Centro;741932;6946277
1849965;11635;159;2989;2282;8160;8419;330;3;4;1;2;SM;S;S;A;Centro;740879;6945635
1179957;9291;127;1647;1099;6987;7246;140;3;4;1;2;N;N;N;M;Centro;741826;6946180
639979;8101;79;2508;2643;8521;8780;299;3;2;1;1;N;N;S;A;Centro;741041;6945746
235008;4352;54;364;2494;7642;4609;1425;2;1;0;0;MO;N;N;B;Centro;742066;6944890
530029;8689;61;1439;1275;7262;7521;552;2;2;1;1;SM;N;N;M;Centro;742277;6945921
1248000;13000;96;3074;2366;8244;8503;98;3;3;1;1;MO;S;S;A;Centro;740979;6945937
649029;9687;67;470;2076;8456;4740;1244;2;2;1;1;SM;S;S;M;Centro;742236;6945154
360006;4138;87;844;2306;7866;4560;1207;2;2;0;1;SM;N;N;B;Centro;742432;6945276
2447025;8295;295;3094;2387;8265;8524;411;4;4;2;3;N;S;S;A;Centro;740966;6945573
1274014;12614;101;1132;1423;7311;7570;536;3;2;1;2;N;S;S;A;Centro;741739;6945717
549976;9016;61;2382;2517;8395;8654;420;2;1;0;1;N;N;N;M;Centro;741043;6945619
449972;6716;67;1691;905;6792;7051;490;3;2;1;1;MO;N;N;M;Centro;742373;6946029
1649928;10248;161;1597;1408;7283;7542;310;3;4;1;2;SM;N;S;A;Centro;741490;6945876
536983;8803;61;2547;2682;8560;8819;266;2;1;0;1;MO;N;N;M;Centro;741048;6945784
784000;7840;100;1337;2178;7746;5236;625;3;4;2;1;SM;N;S;M;Centro;742501;6945944
915048;6444;142;2128;2997;8870;9129;321;3;3;1;2;N;N;S;B;Centro;740883;6945477
1039969;9541;109;1471;1595;7547;7806;625;3;2;1;2;MO;N;S;A;Centro;741925;6945695
1200000;8000;150;1993;1803;7678;7937;353;3;4;1;2;SM;N;N;M;Centro;741252;6945758
1149952;8984;128;2618;1910;7788;8047;74;3;2;1;2;MO;N;N;A;Centro;740698;6945861
1300000;6500;200;930;1594;7482;7741;700;3;4;3;2;N;N;N;A;Centro;741731;6945543
1889927;8957;211;2277;459;6346;6605;91;4;4;2;2;N;S;N;A;Centro;742073;6946336
625986;7542;83;2580;2716;8594;8853;235;3;2;1;1;MO;S;S;M;Centro;741053;6945818
1049040;11160;94;2967;2259;8137;8396;220;3;2;1;2;N;N;S;A;Centro;740831;6945761
1949968;14338;136;3690;1625;7503;7762;153;4;4;3;2;MO;S;S;A;Centro;741049;6945903
349988;5932;59;2492;2652;9139;9398;633;2;1;0;1;N;N;S;B;Centro;741193;6945430
315000;5625;56;1415;2195;7336;4221;1010;1;2;1;0;N;N;S;A;Centro;742666;6945595
680002;7907;86;2062;1872;7747;8006;395;3;2;1;1;SM;N;S;M;Centro;741175;6945689
1049991;9813;107;2426;2561;8439;8698;357;3;2;1;3;SM;S;N;A;Centro;740987;6945666
830032;7411;112;1135;1917;7805;8064;548;3;2;1;1;SM;N;N;A;Centro;741762;6945713
580545;5985;97;3877;1811;7689;7948;345;2;2;1;1;SM;N;N;B;Centro;741143;6945732
830025;9765;85;1571;1381;7256;7515;302;3;2;1;2;N;S;N;M;Centro;741549;6945903
579020;8515;68;1443;2223;7364;4249;997;2;2;1;2;N;S;S;A;Centro;742628;6945589
729968;8488;86;2196;2705;9582;9841;544;3;2;1;1;MO;S;S;M;Centro;741042;6945236
855998;11726;73;1799;1013;6900;7159;637;3;3;2;2;N;S;S;A;Centro;742435;6945895
599040;6240;96;698;1855;7452;4688;1085;3;2;1;1;N;S;S;B;Centro;742301;6945353
597984;6229;96;2835;2127;8005;8264;151;2;2;1;1;MO;S;S;B;Centro;740782;6945819
558000;6200;90;2193;2702;9579;9838;514;2;1;1;1;N;S;S;M;Centro;741024;6945266
1060008;12184;87;2086;1300;7187;7446;265;3;2;1;2;SM;N;S;A;Centro;742130;6946171
2799940;12727;220;1280;2062;7950;8209;477;4;5;3;4;N;S;S;A;Centro;741975;6945876
749994;5102;147;2801;2093;7971;8230;143;2;3;1;1;MO;N;N;M;Centro;740741;6945806
1102620;11730;94;1853;1067;6954;7213;668;3;3;2;2;N;S;S;A;Centro;742390;6945843
730020;10580;69;2428;2427;8305;8564;592;2;2;1;1;MO;N;S;A;Centro;741469;6945575
349980;5833;60;1768;982;6869;7128;400;3;1;0;1;N;N;N;B;Centro;742326;6946106
953232;11348;84;556;2231;8119;8378;1229;3;2;1;1;N;S;S;A;Centro;741906;6945043
849990;4885;174;549;2308;8196;4819;967;3;5;2;2;N;N;N;B;Centro;741827;6945293
1290060;9556;135;1309;2091;7979;8238;504;3;4;2;2;N;S;S;M;Centro;741973;6945846
849986;7522;113;1391;1515;7467;7726;633;3;3;1;2;SM;N;S;M;Centro;742002;6945718
679995;9855;69;2137;3006;8879;9138;113;2;2;1;1;SM;N;N;M;Centro;742438;6946556
750040;8824;85;1648;1142;7203;7462;465;1;2;1;1;MO;S;S;A;Centro;742245;6946002
967694;10634;91;2245;620;6307;6566;237;3;2;1;2;MO;S;S;A;Centro;742567;6946529
1200040;7895;152;1987;855;6394;6653;328;3;2;1;2;SM;S;S;B;Centro;742570;6946364
649000;5900;110;2187;1733;6873;7132;853;2;3;1;1;MO;N;S;B;Centro;742538;6945705
560031;7089;79;618;2748;5429;4352;1362;2;1;0;1;MO;N;S;M;Centro;742278;6945043
1300043;11927;109;926;1932;7820;8079;906;3;3;1;2;MO;N;S;A;Centro;742018;6945429
289018;4738;61;1685;3387;9260;9519;801;2;1;0;0;N;N;N;B;Centro;741327;6945254
900030;4737;190;861;1815;7703;7962;768;3;4;1;2;SM;N;N;B;Centro;741617;6945436
649977;6989;93;2114;2000;7878;8137;498;2;2;1;2;SM;N;N;B;Centro;741183;6945584
2645030;15559;170;1361;1741;7629;7888;740;4;4;3;4;MO;S;S;A;Centro;741909;6945563
1390066;9521;146;2365;2364;8242;8501;716;4;3;1;2;MO;N;S;A;Centro;741479;6945448
1989954;15426;129;1702;1056;6931;7190;343;3;3;3;3;SM;S;S;A;Centro;741983;6946025
269989;7297;37;494;2624;5395;4318;1454;1;1;1;1;N;N;N;B;Centro;742169;6944898
750040;8824;85;2199;3068;8941;9200;266;2;2;0;1;MO;N;N;M;Centro;740819;6945421
447002;4217;106;2265;2264;8142;8401;707;2;2;1;0;N;N;N;B;Centro;741257;6945360
955016;7828;122;2974;2266;8144;8403;174;3;3;1;1;SM;N;S;M;Centro;740900;6945831
999024;6404;156;1413;1883;7023;7282;853;3;5;3;2;N;N;N;B;Centro;742389;6945642
449988;5844;77;662;2124;7719;4476;1357;2;1;0;1;SM;S;N;M;Centro;742378;6945091
893582;8198;109;1855;1088;6749;7008;669;3;4;3;2;N;S;S;M;Centro;742673;6945999
1539996;7549;204;1385;1187;7075;7334;264;4;4;2;2;SM;S;N;M;Centro;741633;6945969
748044;7556;99;1706;1516;7391;7650;392;3;1;0;1;MO;N;S;B;Centro;741499;6945793
314985;4565;69;1927;2406;8284;8543;880;2;1;0;0;SM;N;N;B;Centro;741487;6945279
285032;3608;79;2236;2235;8113;8372;620;1;2;0;0;MO;N;N;B;Centro;741169;6945362
849990;9770;87;949;1955;7843;8102;947;3;2;1;2;SM;N;S;A;Centro;741857;6945323
2380000;11900;200;1131;1913;7801;8060;462;4;4;3;4;N;S;S;A;Centro;741866;6945847
1259967;9921;127;2367;623;6309;6568;213;3;3;3;2;N;S;S;A;Agronomica;742609;6946804
780042;8966;87;2167;423;6110;6369;125;3;3;1;1;MO;N;N;A;Agronomica;742505;6946729
